Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata,Rata-rata (Next Sem)
95,83,90,64,91,90,85,74,60,68,73,72,87,91,92,86,91,82,89,55,93,85,79,62,59,73,71,70,76,93,86,79,81.31,77.69
69,80,81,85,74,86,91,88,61,72,67,89,77,71,91,61,63,82,85,81,77,83,87,92,67,69,65,98,72,65,88,62,77.69,77.25
65,60,73,79,71,88,62,66,64,72,81,79,82,93,61,76,64,50,77,72,74,85,62,74,59,75,85,79,87,95,61,73,73.25,73.25
82,79,71,94,83,88,63,65,67,74,69,85,85,76,90,88,75,75,64,93,87,85,66,68,68,69,78,94,89,80,90,90,78.69,79.44
70,94,74,63,89,93,91,73,76,72,61,92,79,65,93,77,75,97,77,66,95,91,94,78,78,71,54,99,75,60,100,68,78.88,79.88
86,63,91,81,88,90,66,68,64,92,83,71,65,94,77,68,94,59,98,81,89,88,66,67,62,93,91,68,66,91,87,64,77.94,79.0
90,84,79,89,94,72,88,62,82,84,69,64,72,67,95,62,94,83,78,91,81,78,80,57,80,80,61,72,63,81,93,69,78.31,77.56
94,77,61,93,61,94,64,66,66,95,82,71,64,69,70,64,97,71,59,92,60,93,61,68,66,95,76,61,60,69,67,68,74.44,72.69
61,76,92,70,64,66,74,83,63,79,68,72,74,76,60,69,56,78,89,72,65,71,71,84,59,70,75,72,69,81,58,71,71.69,71.31
91,70,83,88,81,89,83,85,66,67,70,92,89,75,92,86,100,79,79,90,75,95,83,86,70,71,64,88,91,73,91,91,81.69,82.88
94,62,66,80,70,81,91,84,86,86,63,87,66,90,80,69,100,72,63,77,71,75,94,80,89,91,59,89,60,87,86,70,78.44,78.94
82,73,72,88,94,64,62,76,62,61,74,63,69,86,79,80,79,78,72,88,100,67,55,70,55,53,80,62,74,83,73,85,74.06,73.38
67,63,73,67,75,75,90,83,67,91,89,79,94,83,60,85,61,69,71,63,68,76,91,90,64,84,85,81,100,81,54,82,77.56,76.25
85,60,86,70,94,84,85,68,94,92,70,74,82,92,67,77,85,64,88,70,91,89,82,67,100,99,63,69,82,88,72,80,80.0,80.56
78,86,61,95,61,67,65,95,86,92,88,87,80,82,76,61,73,78,55,92,64,76,72,93,85,94,82,91,84,84,75,55,78.75,78.31
76,81,62,70,68,78,68,74,86,76,61,95,65,71,82,79,82,75,63,65,69,82,62,76,87,73,61,99,59,79,69,83,74.5,74.0
64,75,81,70,71,92,80,86,60,93,85,70,73,93,73,74,62,74,78,59,66,100,81,89,65,90,82,68,70,87,74,65,77.5,75.62
90,92,90,88,79,83,73,85,94,94,90,68,76,80,95,89,89,90,86,89,72,82,68,88,92,95,88,71,73,80,96,86,85.38,84.06
95,69,89,94,95,81,83,94,63,92,91,80,88,82,74,87,99,73,91,100,100,94,82,97,67,95,96,83,93,84,75,94,84.81,88.94
68,61,60,91,64,69,76,84,83,73,88,74,65,74,79,85,72,54,54,94,63,77,71,86,85,69,86,81,70,66,75,83,74.62,74.12
88,90,85,89,69,74,87,94,61,87,73,68,73,93,77,82,90,88,84,80,67,72,96,91,59,89,72,69,71,94,75,77,80.62,79.62
68,89,94,67,94,75,83,95,85,70,80,81,60,79,67,90,70,90,98,67,90,74,86,100,77,69,79,80,56,82,68,94,79.81,80.0
83,73,93,61,63,63,93,78,75,83,61,77,64,64,76,87,82,79,96,63,63,68,92,74,83,77,63,79,64,67,83,84,74.62,76.06
72,73,63,92,60,91,87,74,74,86,84,82,63,84,90,79,68,74,55,95,57,90,81,78,76,86,74,86,54,77,92,83,78.38,76.62
69,76,68,84,88,81,95,61,62,74,69,79,65,87,92,85,63,79,66,84,91,79,94,55,65,68,67,83,64,76,83,81,77.19,74.88
70,86,91,95,60,74,81,95,74,72,81,60,76,71,79,63,73,91,85,97,62,77,83,87,77,70,77,69,78,68,77,59,76.75,76.88
73,63,74,91,93,86,73,69,85,89,92,86,73,73,95,60,79,64,73,93,85,90,72,70,76,87,95,74,80,76,96,55,79.69,79.06
76,70,86,69,65,91,69,60,65,60,65,78,93,82,71,72,80,67,86,60,63,96,75,60,71,63,73,78,89,82,82,70,73.25,74.69
91,61,66,60,88,64,77,85,68,70,74,92,71,62,64,66,94,62,58,65,86,61,70,81,69,75,75,87,66,59,62,72,72.44,71.38
68,66,95,93,94,75,89,89,73,84,60,93,78,62,70,91,66,69,95,94,90,70,85,90,77,88,54,91,76,57,79,93,80.0,79.62
66,61,76,67,71,64,67,60,60,91,64,90,60,71,78,92,70,62,67,68,79,58,67,53,54,94,68,88,69,69,73,96,71.12,70.94
87,61,72,87,79,89,62,61,87,93,68,68,60,66,95,82,92,62,70,91,88,86,58,58,88,97,65,64,57,61,100,80,76.06,76.06
89,69,67,73,69,74,92,72,69,85,74,70,93,94,75,94,76,60,74,76,73,69,84,67,65,81,75,66,96,96,71,99,78.69,76.75
76,78,91,93,63,64,72,90,74,61,94,95,79,68,61,90,79,76,89,98,59,61,78,80,75,57,90,96,79,64,60,89,78.06,76.88
76,95,92,81,93,73,61,68,91,64,74,91,69,66,74,88,71,95,87,79,93,76,53,70,88,64,77,100,66,63,74,85,78.5,77.56
66,89,62,85,72,65,75,69,67,77,86,88,91,76,68,88,59,87,57,81,74,70,80,73,65,82,84,96,93,78,75,88,76.5,77.62
70,64,93,90,85,92,79,67,66,88,80,64,82,91,87,65,71,64,98,84,77,82,82,64,62,85,83,64,79,94,86,67,78.94,77.62
61,80,81,77,82,78,94,64,91,72,82,60,95,80,74,84,62,81,79,76,79,78,91,67,93,69,71,67,100,77,68,81,78.44,77.44
62,65,93,60,79,71,84,63,89,73,66,85,60,62,79,93,57,58,100,61,86,67,77,70,79,82,67,81,56,61,79,93,74.0,73.38
93,79,66,70,66,90,91,88,89,89,79,90,72,80,65,87,98,81,71,74,70,93,90,91,97,84,84,98,72,84,72,85,80.88,84.0
86,67,87,84,76,89,69,68,71,80,71,80,75,78,61,84,83,73,94,81,81,86,64,71,73,75,70,82,67,70,65,83,76.62,76.12
93,70,63,85,66,90,62,87,73,92,77,73,66,61,65,64,82,75,67,83,65,90,61,79,77,90,89,62,64,56,64,64,74.19,73.0
81,89,86,65,95,90,74,64,60,75,82,90,83,76,82,93,79,99,78,70,88,89,66,54,59,74,81,85,88,74,79,93,80.31,78.5
66,81,77,81,94,71,62,76,77,83,86,84,84,78,92,61,72,86,79,78,87,64,65,72,74,84,88,89,80,71,87,65,78.31,77.56
89,65,91,85,94,70,81,77,76,79,61,94,73,62,75,62,88,71,88,88,92,67,93,88,70,86,61,90,82,59,75,59,77.12,78.56
78,76,64,85,88,89,84,67,65,63,91,94,73,75,88,78,80,79,65,92,87,88,79,69,72,64,91,94,81,71,80,71,78.62,78.94
84,84,69,60,92,64,74,83,69,81,92,65,71,61,61,82,73,87,72,57,89,69,80,85,65,86,91,65,72,70,62,90,74.5,75.81
82,78,62,76,78,77,84,74,94,60,82,82,89,61,79,82,85,76,56,75,77,80,87,74,92,69,81,89,78,60,72,88,77.5,77.44
74,63,86,87,74,73,92,84,81,66,62,83,70,64,69,61,66,65,93,92,67,69,87,82,72,77,67,75,74,61,58,64,74.31,73.06
86,79,85,77,95,83,92,67,74,75,69,90,86,92,63,79,90,84,88,75,92,81,97,66,74,77,71,86,94,88,58,81,80.75,81.38
73,91,83,64,80,91,88,63,60,77,84,67,60,77,74,85,71,88,78,60,78,95,87,70,57,73,92,60,46,77,81,85,76.06,74.88
74,63,94,95,90,64,79,87,68,71,88,74,67,89,65,76,78,58,89,92,95,62,83,84,77,61,81,74,65,90,68,75,77.75,77.0
74,75,84,83,74,75,88,82,60,86,95,76,93,77,73,79,80,79,81,87,66,71,78,78,57,87,100,72,88,78,69,75,79.62,77.88
67,94,61,78,91,81,80,90,88,70,67,76,82,94,71,66,64,88,63,91,92,88,75,91,92,66,64,83,83,100,72,66,78.5,79.88
68,82,80,74,88,60,95,72,70,68,85,75,69,68,88,68,73,86,81,78,87,65,99,77,72,66,87,72,62,69,92,71,75.62,77.31
66,72,60,80,89,79,66,64,92,84,81,95,60,94,84,85,68,68,60,81,80,79,66,66,78,71,84,95,74,93,90,85,78.19,77.38
72,82,76,87,94,90,78,64,76,72,62,66,91,72,84,91,67,85,73,92,90,90,77,53,85,70,59,72,88,72,79,90,78.56,77.62
91,79,67,80,72,82,60,86,75,82,64,67,87,60,67,64,93,79,62,81,68,83,60,90,74,92,62,69,80,57,60,64,73.94,73.38
80,81,67,85,87,75,69,69,74,83,81,73,63,76,76,72,82,88,55,83,92,78,67,62,78,77,79,75,66,78,79,65,75.69,75.25
68,84,81,87,81,91,61,82,84,64,79,75,87,65,83,60,68,74,75,88,81,84,61,84,80,68,78,75,85,61,86,67,77.0,75.94
84,80,95,73,89,65,75,75,70,88,88,83,82,69,62,82,84,73,87,66,90,68,79,75,66,83,84,80,78,87,58,79,78.75,77.31
71,83,82,94,67,74,64,89,80,75,94,92,66,67,74,78,70,81,72,92,66,79,70,92,87,68,92,92,64,60,72,85,78.12,77.62
75,73,69,91,64,92,69,61,62,61,73,89,88,80,84,68,78,83,66,92,65,91,66,63,65,57,66,95,89,76,92,72,74.94,76.0
70,70,83,85,80,79,94,70,78,93,85,63,64,82,87,81,77,69,88,79,80,77,89,70,74,100,85,62,67,70,90,82,79.0,78.69
77,62,76,93,62,88,70,64,76,95,94,94,73,66,76,63,77,66,76,94,68,100,72,59,73,88,91,100,74,61,81,63,76.81,77.69
77,60,77,77,60,79,64,74,70,63,82,77,88,70,74,72,84,60,75,74,62,81,58,75,70,72,84,86,93,70,72,81,72.75,74.81
68,91,89,67,87,89,86,94,77,91,61,69,91,81,64,67,69,96,87,65,82,91,87,98,73,78,72,71,88,75,58,67,79.5,78.56
89,73,92,75,66,83,80,92,73,77,68,89,85,66,74,71,85,69,94,76,61,93,82,85,84,73,80,99,90,72,73,61,78.31,79.81
73,68,78,75,81,74,72,64,86,66,93,94,67,73,90,92,68,62,84,77,84,72,74,77,86,72,92,94,66,78,98,95,77.88,79.94
68,71,77,95,74,85,66,94,63,66,60,65,92,82,72,70,64,70,71,100,78,88,61,91,63,70,63,68,98,81,64,72,75.0,75.12
92,81,87,76,86,71,68,67,89,95,79,92,94,82,86,68,98,89,92,79,88,75,69,66,94,100,81,90,91,77,87,70,82.06,84.12
94,88,81,77,64,67,76,73,89,80,81,95,94,71,88,82,100,76,80,82,59,72,68,74,93,79,80,94,91,70,86,88,81.25,80.75
77,61,89,66,63,93,89,64,88,82,79,60,67,69,79,77,83,64,86,57,66,89,92,68,86,84,81,67,70,75,77,79,75.19,76.5
87,64,68,72,65,91,78,86,82,66,68,68,75,71,88,65,87,56,57,67,68,87,82,85,88,63,65,65,71,70,91,64,74.62,72.88
66,79,82,78,65,81,79,70,90,78,86,75,68,64,84,85,66,82,79,83,60,79,85,73,92,67,88,78,64,67,83,83,76.88,76.81
76,75,94,77,91,89,74,85,87,86,79,78,89,93,64,93,73,77,100,74,96,88,69,85,94,93,71,79,84,90,61,91,83.12,82.81
71,90,69,67,84,67,65,95,74,93,67,63,66,85,90,61,61,85,68,64,78,64,62,96,75,100,66,70,62,96,85,68,75.44,75.0
66,85,85,87,63,70,70,89,64,94,94,67,64,92,60,82,63,91,86,75,65,74,68,89,60,100,95,66,72,89,62,87,77.0,77.62
62,75,86,82,77,78,94,63,88,93,83,88,66,78,87,89,63,69,80,82,74,82,90,66,90,89,84,89,63,75,81,86,80.56,78.94
92,81,85,95,85,86,73,74,93,69,84,65,76,95,65,84,97,77,93,99,92,92,74,70,90,63,84,62,79,98,60,86,81.38,82.25
80,64,81,95,89,85,63,85,60,71,91,74,91,72,64,83,84,69,82,93,85,80,69,84,58,64,94,75,89,78,65,80,78.0,78.06
63,88,66,94,95,76,63,79,75,63,82,81,60,78,61,82,66,92,61,90,98,72,69,81,77,70,80,82,64,82,59,76,75.38,76.19
84,75,82,92,65,66,85,71,67,88,70,74,64,77,87,78,79,75,79,92,63,73,85,73,53,83,71,85,66,77,89,75,76.56,76.12
66,86,88,65,73,66,63,72,85,95,89,80,85,69,65,79,62,86,94,70,77,63,68,73,82,89,81,77,86,62,59,79,76.62,75.5
79,73,94,61,93,64,83,71,71,79,60,85,79,74,92,72,85,70,92,58,98,63,83,70,68,91,61,75,82,76,95,65,76.88,77.0
93,62,92,65,76,66,73,89,66,76,70,77,93,65,92,71,91,57,85,70,76,71,79,87,57,76,64,76,100,67,92,64,76.62,75.75
69,72,65,76,68,92,73,74,88,95,82,86,83,85,70,60,64,74,63,75,67,92,74,69,91,96,80,96,83,81,63,60,77.38,76.75
65,92,89,90,92,75,81,84,92,75,94,65,82,88,67,88,61,99,96,90,90,79,80,96,93,75,87,62,85,83,63,91,82.44,83.12
92,84,83,77,70,71,95,78,92,76,72,85,77,72,95,61,90,89,86,75,75,69,95,75,87,76,74,80,74,70,100,68,80.0,80.19
84,70,81,70,86,92,87,84,62,90,90,78,92,88,75,93,81,66,76,70,77,93,91,83,58,91,87,82,92,88,76,100,82.62,81.94
74,87,88,90,68,70,81,93,67,73,85,71,68,83,67,73,71,84,91,91,57,72,72,85,68,77,98,67,82,90,67,70,77.38,77.62
67,66,79,67,79,66,62,78,63,85,71,85,93,62,79,62,67,60,75,63,70,66,59,88,62,82,75,81,92,77,81,74,72.75,73.25
90,93,60,63,92,83,86,89,86,89,94,72,89,77,89,60,88,91,65,60,93,86,84,89,94,88,100,79,80,73,92,62,82.0,82.75
91,89,60,68,95,78,93,84,92,73,83,85,70,69,91,85,87,84,57,68,100,78,94,87,89,78,87,76,74,67,90,86,81.62,81.38
68,88,90,67,67,82,86,71,62,64,90,78,76,84,65,87,71,85,100,70,66,77,86,73,67,60,98,69,74,86,71,86,76.56,77.44
73,94,67,91,73,82,75,73,73,61,78,87,76,77,83,64,77,100,75,93,74,82,83,70,68,58,77,85,79,70,85,67,76.69,77.69
65,95,73,63,77,84,84,81,68,63,65,87,60,66,94,87,59,100,73,53,74,79,80,78,73,61,68,88,65,63,100,87,75.75,75.06
77,93,60,88,61,85,81,78,77,81,84,81,75,80,75,62,74,94,60,84,56,87,78,81,80,89,85,84,73,83,78,73,77.38,78.69
86,63,63,76,62,64,80,84,65,81,78,95,88,70,69,83,75,61,67,78,76,68,88,90,60,82,82,96,90,62,72,75,75.44,76.38
65,67,60,93,70,65,64,70,89,66,91,80,94,65,82,79,60,62,56,95,62,74,70,68,86,51,93,80,97,67,81,79,75.0,73.81
71,65,82,85,74,65,92,69,75,83,66,88,68,84,81,83,73,75,81,79,73,75,89,80,81,83,68,89,62,84,88,77,76.94,78.56
91,78,77,89,86,72,84,61,94,72,80,88,79,73,75,87,82,71,72,86,89,70,83,71,96,68,78,87,79,64,76,74,80.38,77.88
92,62,65,62,93,87,72,61,70,95,72,64,76,65,84,69,94,58,63,62,87,84,71,58,81,100,75,55,72,64,86,78,74.31,74.25
74,93,89,65,63,68,70,77,82,62,79,89,71,67,76,70,72,93,98,60,68,58,67,74,79,64,70,87,78,63,78,68,74.69,73.56
82,65,63,76,79,60,91,82,61,88,91,70,75,85,67,73,88,66,61,82,72,64,88,92,64,91,90,65,72,89,71,73,75.5,76.75
70,81,67,71,84,66,71,85,60,64,92,88,84,68,73,79,67,70,62,74,81,69,63,81,61,68,83,82,93,64,79,85,75.19,73.88
93,89,90,87,74,84,76,93,93,80,74,74,64,83,93,63,92,99,94,77,69,77,77,98,93,79,72,74,60,79,95,55,81.88,80.62
66,62,66,63,79,63,82,63,81,76,89,92,89,77,67,77,70,64,72,64,80,65,89,73,85,80,81,87,87,81,66,81,74.5,76.56
67,69,71,78,63,85,70,67,94,90,62,88,76,83,72,86,63,60,73,76,68,78,69,64,100,87,54,87,74,80,70,89,76.31,74.5
92,60,78,61,87,63,74,62,78,91,78,65,89,72,88,62,96,63,71,65,89,64,78,63,79,97,79,65,89,72,90,63,75.0,76.44
89,72,67,66,75,71,85,89,74,66,84,81,73,65,93,73,91,68,66,56,72,80,83,86,84,64,88,76,75,73,92,72,76.44,76.62
65,61,62,63,91,71,61,89,80,78,86,84,72,94,89,82,69,62,64,59,94,74,60,95,85,76,91,87,67,89,83,91,76.75,77.88
67,69,69,92,89,76,72,66,86,80,64,92,90,78,85,69,66,69,70,89,92,83,73,72,90,75,73,94,85,76,84,70,77.75,78.81
89,88,81,74,90,75,61,94,65,76,87,72,82,66,85,87,81,85,81,76,99,77,65,96,68,77,81,78,93,66,87,79,79.5,80.56
81,66,86,69,87,86,72,89,87,68,84,88,67,80,65,86,80,67,90,69,85,85,71,87,85,61,85,74,67,78,74,90,78.81,78.0
64,90,79,77,69,64,91,93,91,89,78,86,75,82,92,87,65,92,84,72,74,58,87,83,100,86,75,82,72,84,92,76,81.69,80.12
86,60,79,71,66,92,85,69,77,85,72,90,64,93,84,91,87,57,85,79,69,94,87,66,82,84,76,91,73,100,89,85,79.0,81.5
66,72,78,67,61,80,66,81,65,79,66,82,91,73,83,60,67,82,81,69,58,88,61,91,65,82,71,81,98,81,70,58,73.12,75.19
78,66,75,71,68,74,71,94,72,92,69,85,92,60,61,90,82,70,73,74,64,69,65,98,83,87,61,72,92,56,58,88,76.12,74.5
65,63,65,87,91,83,95,70,82,92,77,70,72,69,74,70,58,65,69,100,88,72,89,74,89,95,72,67,83,69,75,79,76.56,77.75
87,90,94,89,92,62,95,91,76,89,69,75,73,62,91,66,86,83,94,85,100,57,100,83,71,87,64,83,70,56,86,67,81.31,79.5
88,89,80,71,85,63,69,86,69,70,84,70,66,79,86,79,83,98,78,76,84,60,73,82,64,82,94,71,60,74,88,77,77.12,77.75
70,83,87,82,70,88,94,93,77,70,89,77,85,94,85,68,59,81,88,78,75,85,95,95,79,75,88,82,77,81,99,66,82.0,81.44
94,74,88,95,95,70,92,63,82,85,67,85,83,73,62,91,99,76,93,93,100,72,93,63,90,87,57,83,82,68,62,100,81.19,82.38
78,69,92,61,82,82,68,74,88,84,85,87,82,63,76,83,83,67,91,62,76,78,76,74,91,93,78,90,84,61,63,80,78.38,77.94
61,95,92,67,65,66,68,94,94,76,72,61,78,73,69,65,52,96,92,72,65,73,71,95,92,74,69,55,71,75,68,67,74.75,74.19
60,82,75,61,91,65,63,67,65,91,92,65,93,80,60,80,60,94,82,65,82,70,63,70,61,92,80,67,100,90,58,80,74.38,75.88
72,76,87,88,90,75,81,83,83,66,66,60,60,94,71,61,73,79,91,91,87,65,78,84,71,62,69,55,62,96,71,58,75.81,74.5
69,84,77,81,72,84,84,85,76,89,65,84,90,84,73,89,66,84,78,75,68,85,80,92,80,84,61,86,88,84,66,96,80.38,79.56
93,76,69,94,66,73,89,94,71,92,70,95,88,75,74,77,92,77,63,95,63,71,80,97,76,93,71,86,84,78,72,89,81.0,80.44
63,67,78,77,68,66,92,93,64,78,65,81,80,70,95,72,60,61,74,74,61,62,89,96,63,79,72,84,79,69,96,76,75.56,74.69
79,77,86,71,84,62,61,86,68,83,60,63,81,61,72,89,74,73,86,71,77,55,67,89,65,75,62,58,79,56,73,91,73.94,71.94
80,63,65,68,88,83,91,78,74,87,64,63,82,83,63,85,79,57,63,62,81,81,94,79,73,82,66,63,81,88,62,90,76.06,75.06
89,74,90,69,76,62,64,84,85,69,86,65,86,89,66,79,87,79,95,72,80,75,70,83,80,77,82,67,86,94,71,72,77.06,79.38
95,60,85,62,95,62,77,76,78,62,69,60,77,83,67,90,90,58,90,58,98,68,83,78,80,57,75,65,75,87,57,96,74.88,75.94
61,72,64,90,80,65,85,68,74,70,93,85,80,85,67,68,70,66,64,93,79,59,87,60,70,64,94,94,82,88,66,71,75.44,75.44
66,62,87,73,62,64,79,60,70,86,89,93,73,90,60,76,69,56,92,76,63,70,89,63,69,85,95,92,80,94,57,78,74.38,76.75
92,66,80,79,63,86,70,79,94,75,61,64,93,89,69,67,89,71,81,83,64,95,76,78,100,78,56,67,89,86,77,67,76.69,78.56
70,66,63,61,64,86,93,78,66,89,87,79,69,73,80,62,72,59,61,58,69,87,86,70,66,88,84,72,78,81,70,61,74.12,72.62
64,85,77,62,73,67,89,77,81,63,79,73,78,65,78,71,60,84,79,60,73,68,93,76,87,62,86,74,72,82,75,65,73.88,74.75
66,81,61,86,87,93,67,78,89,89,64,83,62,75,88,74,75,78,70,81,83,94,76,82,86,87,63,81,60,72,89,73,77.69,78.12
90,93,78,90,88,76,76,78,73,70,75,62,85,70,66,64,82,95,83,93,86,78,64,79,76,68,81,63,85,72,62,65,77.12,77.0
74,83,85,72,70,64,73,64,93,62,63,61,80,94,74,92,71,82,85,77,72,61,69,62,82,65,62,71,77,100,66,96,75.25,74.88
72,77,68,75,81,76,85,79,82,76,64,71,88,69,87,74,75,77,62,81,81,70,85,83,85,76,65,68,94,73,94,80,76.5,78.06
94,77,81,80,61,64,77,74,69,88,79,72,85,92,64,95,87,82,77,83,56,63,75,74,63,85,72,66,87,99,63,91,78.25,76.44
71,92,89,86,86,68,88,94,80,81,94,67,92,95,62,94,74,93,96,80,89,73,92,98,78,85,90,79,88,100,55,100,83.69,85.62
95,86,92,65,76,93,79,61,72,88,69,60,95,93,85,89,89,84,100,63,75,98,79,62,76,92,69,69,92,90,82,94,81.12,82.12
73,61,76,95,83,75,94,67,89,64,61,79,69,64,81,62,82,60,86,90,89,65,97,66,83,62,58,81,71,62,70,59,74.56,73.81
77,68,95,81,72,88,63,94,71,78,80,83,66,94,81,79,82,65,93,72,75,84,67,92,69,73,74,82,68,91,82,74,79.38,77.69
65,69,85,90,60,74,89,84,72,84,62,72,71,74,66,72,67,63,85,88,66,79,91,82,74,85,61,74,67,70,73,77,74.31,75.12
73,62,64,92,79,93,91,87,78,83,74,95,71,67,94,94,71,62,60,83,85,89,91,85,83,91,70,90,67,73,96,100,81.06,81.0
88,67,88,62,68,78,92,62,93,89,88,80,74,90,72,66,96,68,91,57,68,73,95,66,90,88,91,89,70,88,66,59,78.56,78.44
82,85,66,70,73,69,82,66,70,81,92,87,84,76,80,71,75,89,55,73,72,66,81,58,73,85,94,87,97,68,81,67,77.12,76.31
94,80,61,82,64,80,86,72,75,65,95,62,67,60,92,62,92,79,55,84,68,79,77,75,79,77,88,62,69,60,82,56,74.81,73.88
74,82,71,77,84,67,71,73,80,68,83,78,91,87,61,91,74,78,64,76,78,75,72,67,81,66,76,78,94,94,61,93,77.38,76.69
87,93,90,62,91,89,93,88,88,64,79,86,93,86,60,86,87,93,83,57,96,85,81,84,90,61,78,92,100,87,55,84,83.44,82.06
61,63,68,89,84,90,60,93,67,61,83,72,74,77,75,78,62,69,62,91,89,92,62,94,63,64,80,74,77,80,67,78,74.69,75.25
92,93,87,73,89,65,89,63,94,95,74,77,92,87,63,79,100,92,81,71,89,61,88,56,91,100,76,79,98,88,61,94,82.0,82.81
64,66,87,95,88,87,83,72,68,82,64,84,89,69,66,74,71,63,89,100,85,86,83,72,66,80,60,80,89,72,61,76,77.38,77.06
83,89,68,82,88,60,69,72,72,84,66,80,84,87,84,88,82,97,78,91,96,57,67,69,67,82,68,81,78,88,83,94,78.5,79.88
62,88,76,91,77,75,80,68,94,66,90,75,60,89,62,93,67,88,76,92,71,82,78,65,94,66,95,75,65,82,72,90,77.88,78.62
73,88,72,85,61,89,70,70,92,65,88,65,91,86,70,74,77,87,62,83,56,87,72,73,95,65,92,63,89,87,79,77,77.44,77.75
94,81,76,84,82,94,82,81,81,83,65,94,81,60,90,69,89,86,80,86,89,92,87,84,78,82,55,93,86,58,93,71,81.06,81.81
80,74,80,82,65,73,94,94,73,62,82,84,61,81,63,79,83,75,78,89,76,69,97,92,71,61,83,91,65,87,64,73,76.69,78.38
80,93,95,80,77,70,87,91,75,60,78,75,93,80,87,75,87,89,92,85,86,69,91,93,85,63,70,74,93,90,95,78,81.0,83.75
91,60,93,78,66,86,69,77,63,81,84,61,64,87,79,88,86,69,91,69,76,95,74,73,58,86,84,60,56,86,83,92,76.69,77.38
86,81,69,72,94,73,80,72,88,64,93,80,95,79,69,91,88,80,66,65,98,67,75,69,83,59,91,73,100,79,66,88,80.38,77.94
76,95,79,92,90,66,63,66,71,77,86,86,73,92,94,90,65,98,82,94,95,61,68,60,73,74,87,88,83,94,97,85,81.0,81.5
90,73,70,93,90,77,90,90,95,73,75,94,91,82,73,88,89,68,72,100,89,72,95,88,100,77,88,93,90,83,77,78,84.0,84.94
73,79,63,70,91,66,94,85,93,87,67,95,91,78,77,79,78,76,59,60,92,77,85,76,90,86,70,92,91,84,76,83,80.5,79.69
77,88,82,69,87,94,69,87,67,77,75,92,83,94,88,60,86,90,87,75,88,93,74,85,65,67,84,92,93,98,90,57,80.56,82.75
94,80,86,61,65,67,86,74,81,84,94,72,82,79,81,67,100,77,92,57,63,72,89,75,75,79,90,76,78,77,77,64,78.31,77.56
74,78,66,76,77,73,91,65,74,72,71,84,67,90,90,92,71,93,65,81,74,74,92,61,69,79,72,90,75,94,92,87,77.5,79.31
84,67,71,66,75,91,71,89,77,69,87,82,88,65,63,81,73,67,70,61,65,90,70,90,81,72,91,83,87,74,62,81,76.62,76.06
82,78,78,83,65,86,88,62,68,89,60,86,82,85,84,85,74,78,88,84,67,87,79,57,64,94,66,89,79,81,84,88,78.81,78.69
83,91,87,65,65,77,90,86,73,67,93,92,65,66,74,92,81,96,87,68,67,77,85,90,70,81,91,96,59,69,71,97,79.12,80.31
69,85,81,68,95,62,71,88,68,72,61,92,85,73,65,66,64,87,91,66,100,65,75,79,68,74,66,86,89,84,65,66,75.06,76.56
78,84,77,65,90,91,67,90,73,92,75,94,78,78,92,88,80,91,76,80,92,94,69,84,74,91,71,99,84,80,85,84,82.0,83.38
88,78,82,73,77,70,79,84,63,64,68,84,69,92,86,60,87,73,76,78,77,68,71,97,75,67,66,77,59,88,83,56,76.06,74.88
91,82,94,72,75,72,64,65,61,94,89,91,87,79,61,79,93,83,94,67,81,73,65,64,59,97,99,94,78,81,63,82,78.5,79.56
84,60,76,63,84,78,89,72,93,86,70,76,90,79,79,72,86,55,65,66,81,69,98,66,91,91,66,70,85,76,93,76,78.19,77.12
78,71,90,84,85,87,93,72,91,95,73,69,88,61,95,64,82,66,90,85,78,96,89,75,81,94,74,69,88,59,93,71,81.0,80.62
62,79,67,95,62,86,66,86,80,63,78,95,87,69,63,85,58,74,68,96,66,84,64,86,77,61,78,94,85,67,67,92,76.44,76.06
89,91,93,91,95,64,92,90,61,71,92,92,60,92,82,75,85,90,92,97,100,64,83,89,70,70,100,97,63,91,80,80,83.12,84.44
86,83,89,95,68,84,93,90,73,86,66,90,64,62,82,89,84,79,87,100,62,82,98,94,75,81,64,90,61,65,79,78,81.25,79.94
83,75,61,79,79,64,77,63,73,72,94,87,64,94,62,66,87,79,54,81,83,72,77,65,68,74,95,83,67,89,64,69,74.56,75.44
90,63,65,60,89,91,72,89,75,91,92,93,94,66,91,68,90,60,69,66,94,100,79,86,77,88,93,95,98,66,80,61,80.56,81.38
82,78,90,66,63,80,93,89,87,72,79,89,91,74,77,71,82,74,92,61,61,86,97,91,83,64,78,86,76,70,85,85,80.06,79.44
